cond,tau,S_km,S_ci_lo,S_ci_hi,cum_hazard
C2,1500,0.9118541033434655,0.8888888888888887,0.9316770186335405,0.09227527610917033
C2,2000,0.9118541033434655,0.8888888888888887,0.9316770186335405,0.09227527610917033
C2,3000,0.9118541033434655,0.8888888888888887,0.9316770186335405,0.09227527610917033
C2,5000,0.9118541033434655,0.8888888888888887,0.9316770186335405,0.09227527610917033
C2,7500,0.9118541033434655,0.8888888888888887,0.9316770186335405,0.09227527610917033
C2,9999,0.9118541033434655,0.8888888888888887,0.9316770186335405,0.09227527610917033
C3,1500,0.7211538461538464,0.7033997655334113,0.7444168734491314,0.3269027856050619
C3,2000,0.7211538461538464,0.7033997655334113,0.7444168734491314,0.3269027856050619
C3,3000,0.7211538461538464,0.7033997655334113,0.7444168734491314,0.3269027856050619
C3,5000,0.7211538461538464,0.7033997655334113,0.7444168734491314,0.3269027856050619
C3,7500,0.7211538461538464,0.7033997655334113,0.7444168734491314,0.3269027856050619
C3,9999,0.7211538461538464,0.7033997655334113,0.7444168734491314,0.3269027856050619
C0u,1500,0.015606639513080084,0.014907270903510685,0.016313733581273332,4.160058845459986
C0u,2000,0.003503253480476114,0.0032045956621176044,0.0038090647430607813,5.654063176415229
C0u,3000,0.00016316780791841306,0.0001026623815318478,0.00022985516751923194,8.720731390293555
C0u,5000,0.0,0.0,0.0,27.631021115928547
C0u,7500,0.0,0.0,0.0,27.631021115928547
C0u,9999,0.0,0.0,0.0,27.631021115928547
C0p,1500,0.015636566978729626,0.01495547186201951,0.016332616833628633,4.158143070597973
C0p,2000,0.003487779287011249,0.0031852877865798258,0.003789246411753776,5.658490052743937
C0p,3000,0.00021753972006799963,0.00014162247353265668,0.0003029960794202553,8.433129103106424
C0p,5000,0.0,0.0,0.0,27.631021115928547
C0p,7500,0.0,0.0,0.0,27.631021115928547
C0p,9999,0.0,0.0,0.0,27.631021115928547
