sample_kind,cond,n_trial,n_rt_per_trial_mean,n_rt_pooled,pooled_bin_var_slope,rho_pearson_mean,rho_pearson_ci_lo,rho_pearson_ci_hi,rho_spearman_mean,rho_spearman_ci_lo,rho_spearman_ci_hi,tau_kendall_mean,tau_kendall_ci_lo,tau_kendall_ci_hi,bin_var_slope_mean,bin_var_slope_ci_lo,bin_var_slope_ci_hi,q90_q10_slope_diff_mean,q90_q10_slope_diff_ci_lo,q90_q10_slope_diff_ci_hi,p25_lifetime,censoring_rate
full_agg,C0u,100,1044540.12,104454012,-0.4035714285714285,0.34718506175948893,0.345654803968792,0.34875036595603315,0.19416650565873922,0.19314100764931952,0.19518698922797148,0.15598667312037692,0.15513329407652046,0.15683141960704056,-0.31409890109890115,-0.34073156843156843,-0.2882495004995005,0.593207580006759,0.5908971345797687,0.5956313815069333,227.0,0.009332040534651266
full_agg,C0p,100,1044709.44,104470944,-0.2879120879120879,0.34687329458739474,0.3456082116545496,0.3481974214222205,0.19427694600715928,0.1933449390243181,0.1952484946654982,0.15606097131647112,0.15528259834132332,0.15687015063591053,-0.3241558441558442,-0.3481579420579421,-0.2997735764235764,0.591399523241995,0.5891457988821622,0.5938302492158599,224.0,0.009290554664694592
T1500_agg,C0u,100,31413.23,3141323,-0.24725274725274726,0.34547092877499463,0.3372314998544585,0.35379776037754634,0.19398107398519648,0.188260586936318,0.19973847600072586,0.15597217634390886,0.1512317686065659,0.16074784474387738,-0.1953306693306693,-0.22491945554445555,-0.1653314185814186,0.5941222382299164,0.5830982500979202,0.6048421913067085,177.0,0.2539807702090858
T1500_agg,C0p,100,31414.54,3141454,-0.4945054945054945,0.33850804785086774,0.32992209389518673,0.34700170020742604,0.1893893984814272,0.1830586904026437,0.1956653309233602,0.1522717995672539,0.14700260394991693,0.15746399998520733,-0.15844555444555447,-0.19152215284715285,-0.12570404595404594,0.5823030469210758,0.5685491801456174,0.5957674634045413,128.0,0.22376037693515818
RT10k_agg,C0u,100,10000.0,1000000,-0.3758241758241759,0.34471737032768535,0.33064077134088915,0.3587952863362224,0.19078779614860736,0.18132571287570443,0.20041093091435044,0.1536038563454055,0.14571873645917455,0.16165497030081402,-0.1433756243756244,-0.1781806193806194,-0.10729468031968031,0.5697275998523219,0.5508571371136571,0.5881704348425949,227.0,0.009332040534651266
RT10k_agg,C0p,100,10000.0,1000000,-0.3736263736263736,0.33460572092516316,0.3207159077778527,0.3485205335891335,0.19081205968871495,0.1799780758246375,0.20131740112308974,0.15351336061125123,0.1445858110552029,0.16219944301935843,-0.11248285048285048,-0.14802276889776894,-0.0764101148851149,0.5619901390203842,0.5426119021912278,0.5806194368664571,224.0,0.009290554664694592
LOB,C2,100,4272.86,427286,-0.059340659340659345,0.27755231503876343,0.26218873858402975,0.29466626145587504,0.14221180087496899,0.13216402201032867,0.15294214968164482,0.10805507852141111,0.10005324798916486,0.11662546612760968,-0.03587279387279387,-0.06621987179487179,-0.0044441225441225534,0.2126918918142226,0.20015543350740353,0.2260133573874893,1500.0,0.9102494083378846
LOB,C3,100,4776.95,477695,-0.12637362637362637,0.25709879558175264,0.24321758136952562,0.27185100455140143,0.133290228426568,0.12459423760783779,0.14234654931941623,0.10116425776463361,0.09407929726675221,0.10850717272682381,-0.041304029304029294,-0.07397837162837163,-0.007360339660339666,0.21697486916595138,0.2057670642117704,0.22894811835581844,241.0,0.7304068366079907
