step,price,volume
0,299.745910,9
1,299.635210,11
2,300.284730,13
3,299.742420,9
4,299.668030,9
5,299.536880,14
6,299.678950,9
7,299.036430,14
8,299.321180,11
9,299.786860,8
10,299.698940,15
11,299.833240,14
12,300.950470,16
13,299.662370,13
14,300.443590,15
15,300.119520,11
16,300.271590,13
17,300.719900,9
18,299.497790,15
19,300.524160,11
20,300.296410,10
21,299.906860,11
22,300.151450,12
23,299.764600,15
24,300.274880,9
25,300.379630,12
26,299.391770,13
27,300.085110,11
28,300.685020,15
29,299.740640,14
30,299.476380,13
31,299.566750,14
32,299.348520,11
33,300.060650,8
34,299.401620,12
35,300.358320,14
36,299.995760,11
37,299.429870,12
38,300.665710,11
39,299.488250,11
40,299.650100,10
41,299.787620,13
42,299.881210,11
43,300.180580,13
44,299.792270,13
45,300.194040,11
46,299.413350,12
47,299.821030,12
48,299.500640,8
49,300.353400,12
50,299.569500,16
51,299.825580,12
52,299.936410,13
53,300.128200,14
54,300.969390,15
55,301.118640,14
56,300.768680,16
57,300.418990,14
58,300.659100,13
59,299.834260,12
60,300.131700,15
61,299.927260,11
62,299.599220,10
63,299.823570,12
64,299.551380,15
65,300.336860,13
66,299.837580,8
67,300.402220,13
68,299.703450,13
69,299.500900,10
70,299.681140,13
71,299.894950,12
72,300.035600,14
73,299.472750,15
74,299.670140,13
75,300.912460,14
76,300.384200,10
77,299.886500,14
78,299.658890,10
79,299.872520,13
80,300.267380,13
81,300.018010,14
82,299.979250,9
83,300.480070,12
84,300.332450,10
85,300.620610,8
86,300.248200,10
87,300.291700,12
88,300.407920,13
89,300.757600,13
90,299.874420,11
91,301.464790,14
92,300.484490,13
93,299.796160,13
94,300.007470,14
95,299.926360,12
96,300.189720,12
97,300.093300,12
98,299.948760,11
99,300.766820,15
100,300.767950,12
101,300.765690,15
102,300.180820,13
103,300.660530,13
104,300.434140,14
105,301.207230,14
106,300.007460,18
107,300.401250,12
108,300.412690,15
109,300.236450,17
110,300.646380,9
111,300.377290,10
112,301.085870,12
113,300.164000,9
114,300.406080,12
115,300.835050,5
116,300.797080,10
117,300.904420,8
118,301.060370,7
119,300.661420,8
120,300.921490,13
121,300.395730,14
122,300.254870,11
123,299.630180,15
124,300.385840,14
125,300.924250,14
126,300.180410,13
127,300.565600,15
128,300.634050,13
129,300.088470,15
130,300.622870,13
131,299.460460,12
132,300.410060,16
133,299.684090,11
134,300.717470,15
135,300.277690,12
136,299.939770,14
137,300.120860,11
138,300.093470,15
139,300.429280,13
140,299.302390,11
141,299.939510,11
142,299.680020,13
143,299.115790,16
144,300.757330,14
145,299.814380,11
146,300.023370,15
147,299.431240,17
148,299.197980,14
149,300.010740,19
150,299.949340,13
151,299.814660,13
152,300.710620,13
153,299.866290,13
154,300.452320,12
155,300.447880,13
156,299.509550,18
157,299.743480,12
158,300.340700,13
159,299.586990,14
160,300.098260,13
161,300.075110,11
162,300.459290,16
163,299.523280,15
164,300.504930,15
165,300.231170,14
166,300.209130,15
167,299.982280,15
168,300.373800,13
169,299.773950,16
170,299.793150,11
171,299.969260,9
172,300.003140,10
173,299.775900,14
174,299.464180,9
175,299.936720,7
176,299.619100,15
177,299.348930,9
178,299.961280,11
179,299.906430,11
180,299.702800,14
181,299.209120,18
182,299.383270,17
183,300.946610,17
184,299.734690,17
185,301.113490,15
186,299.191510,14
187,300.638360,12
188,300.485860,17
189,300.714520,16
190,299.639670,12
191,300.835590,13
192,299.975100,9
193,299.970470,11
194,300.329560,12
195,300.121150,10
196,300.848910,13
197,299.782750,12
198,300.529230,9
199,300.305070,11
200,299.874470,10
201,300.015230,10
202,300.182790,10
203,299.995800,10
204,300.078800,8
205,299.893370,9
206,299.340230,11
207,299.752350,5
208,300.328370,11
209,299.963920,9
210,299.795660,11
211,300.147070,9
212,300.334390,11
213,299.894850,11
214,300.264260,8
215,299.781590,9
216,300.599840,13
217,300.233740,11
218,299.526320,13
219,300.789650,9
220,300.878660,12
221,300.419400,13
222,300.809790,14
223,299.825850,11
224,301.007810,11
225,300.494230,17
226,299.541720,14
227,300.187240,13
228,300.229360,16
229,300.816280,13
230,300.577230,18
231,300.515370,14
232,300.319340,15
233,300.831510,13
234,300.593810,11
235,299.999330,11
236,300.838090,12
237,300.833160,13
238,300.752580,14
239,300.780120,14
240,300.068840,11
241,301.000460,14
242,300.222460,15
243,301.286020,9
244,301.128840,13
245,300.825660,12
246,300.080280,13
247,299.829980,13
248,299.452540,18
249,300.799280,14
250,300.900480,14
251,300.845200,15
252,301.529800,15
253,300.579840,14
254,301.694660,16
255,300.571850,12
256,300.075600,13
257,300.273050,11
258,301.085320,14
259,301.156430,14
260,300.849770,15
261,300.553070,13
262,301.135000,17
263,300.209560,14
264,300.538440,12
265,300.148320,16
266,300.799390,17
267,300.924720,12
268,301.281330,14
269,300.268670,14
270,300.637770,9
271,301.448080,11
272,300.703560,12
273,300.437780,13
274,300.636130,11
275,302.042340,11
276,300.566820,11
277,301.301170,10
278,301.498560,12
279,300.889720,13
280,301.588030,11
281,301.986350,9
282,301.761250,9
283,301.895900,9
284,301.575730,9
285,301.762780,9
286,301.799100,7
287,301.282490,11
288,302.081130,10
289,301.942870,10
290,301.129690,15
291,301.791010,12
292,302.078920,10
293,302.412530,14
294,301.305290,15
295,302.211510,12
296,302.377200,15
297,301.478130,16
298,301.553500,13
299,302.270060,10
300,301.765610,12
301,302.494660,9
302,302.716570,11
303,302.760410,13
304,301.621520,12
305,302.068250,14
306,302.904850,10
307,301.932540,8
308,301.632330,10
309,301.884220,9
310,301.948240,11
311,302.321650,11
312,302.370470,13
313,302.539370,7
314,302.445290,8
315,302.591400,10
316,302.228710,12
317,302.300200,11
318,303.114330,12
319,301.852060,10
320,302.278890,15
321,302.608380,17
322,303.125540,14
323,302.151470,17
324,302.651760,17
325,302.639440,13
326,301.904000,18
327,302.266050,12
328,301.448810,21
329,302.190780,17
330,302.393930,14
331,301.726540,11
332,302.251780,12
333,301.631110,15
334,302.547960,10
335,302.691640,15
336,302.306330,13
337,302.381130,12
338,302.793340,12
339,302.329900,12
340,302.251570,14
341,302.091970,14
342,302.216930,12
343,302.388730,12
344,302.022080,13
345,302.891550,15
346,302.788300,13
347,302.145270,13
348,302.102950,12
349,301.936650,13
350,302.206180,12
351,302.334900,16
352,302.087890,16
353,302.198810,10
354,301.948680,14
355,302.270390,10
356,302.298730,16
357,301.972990,11
358,302.370860,12
359,301.450910,18
360,301.803320,12
361,302.083110,14
362,301.877490,13
363,301.816320,15
364,302.035330,10
365,301.164490,14
366,301.926320,13
367,302.366540,15
368,301.693130,13
369,301.504000,16
370,301.991220,11
371,302.276620,10
372,301.645780,14
373,301.631760,10
374,301.530470,12
375,302.092210,10
376,301.896290,10
377,302.184580,10
378,301.759440,12
379,302.130150,8
380,302.345490,14
381,302.515690,15
382,301.694230,14
383,301.612590,13
384,301.916590,15
385,302.087110,13
386,302.596170,15
387,302.021540,11
388,302.049080,12
389,302.237410,15
390,301.742340,11
391,302.508660,11
392,301.702720,12
393,301.726650,12
394,302.061540,11
395,301.466600,11
396,302.100510,13
397,302.521110,10
398,301.895330,14
399,302.103590,11
400,302.733270,9
401,302.776140,11
402,301.904300,11
403,302.293260,8
404,302.358030,13
405,301.834960,13
406,303.039550,10
407,302.602080,13
408,302.852380,9
409,301.888490,12
410,302.221370,14
411,302.253590,13
412,301.510000,10
413,301.618790,13
414,301.981730,17
415,301.641710,12
416,302.228480,13
417,301.654300,11
418,301.716090,11
419,301.437770,11
420,301.684180,12
421,302.413260,13
422,302.649420,15
423,302.107040,12
424,302.773820,14
425,302.744900,14
426,301.764030,12
427,302.178160,12
428,302.336970,13
429,302.929510,14
430,301.704610,16
431,301.640150,12
432,302.199010,12
433,302.580580,14
434,302.961920,13
435,302.491330,11
436,302.576380,13
437,301.914080,14
438,302.663070,11
439,302.381900,11
440,302.228210,14
441,303.334880,17
442,303.041260,14
443,302.462620,17
444,302.718580,15
445,302.089510,13
446,302.662030,16
447,303.097000,13
448,302.378730,17
449,302.765730,16
450,303.026080,8
451,302.934670,10
452,303.090120,8
453,303.016340,17
454,303.126340,12
455,302.662910,10
456,302.313200,9
457,302.466890,16
458,302.508640,13
459,301.994460,11
460,302.436000,10
461,302.289840,11
462,302.282380,12
463,301.954560,12
464,302.253820,12
465,302.999570,12
466,302.285050,17
467,301.979130,10
468,302.222540,14
469,302.263480,14
470,301.826180,12
471,301.993560,14
472,302.062200,17
473,301.883680,12
474,302.065580,13
475,302.242870,17
476,301.760100,10
477,301.215800,16
478,301.853950,13
479,301.879150,15
480,302.670640,15
481,301.333030,9
482,301.608300,14
483,302.535080,13
484,302.133380,14
485,302.430720,14
486,301.967750,12
487,301.509650,13
488,302.133590,18
489,302.068620,15
490,301.365690,16
491,301.185550,13
492,301.927880,14
493,301.805230,12
494,302.468240,13
495,302.371760,14
496,301.738880,14
497,301.133440,16
498,301.485320,11
499,302.094110,14
500,302.981820,16
501,302.409880,15
502,302.616400,14
503,302.533070,10
504,302.395940,14
505,302.609690,13
506,301.853170,13
507,302.489320,13
508,302.753200,17
509,302.433060,16
510,302.638370,16
511,302.132290,13
512,302.709470,14
513,302.619070,15
514,301.517340,16
515,302.414330,16
516,302.007180,14
517,301.549310,14
518,302.325020,17
519,301.963240,11
520,301.842670,11
521,301.634020,12
522,302.281420,11
523,302.239580,13
524,301.991750,10
525,301.927930,14
526,302.521150,11
527,302.294530,11
528,302.108740,9
529,302.393210,14
530,302.186490,15
531,302.504950,17
532,302.230560,14
533,302.004300,13
534,301.752880,16
535,302.293750,15
536,301.717660,13
537,301.821800,13
538,302.465880,13
539,302.020550,15
540,302.322180,15
541,301.523010,10
542,301.261910,13
543,302.419830,11
544,301.945910,12
545,301.959210,12
546,301.541110,9
547,302.849220,12
548,301.536460,11
549,301.938230,11
550,301.853760,18
551,301.712160,13
552,301.085170,16
553,301.482300,11
554,301.926730,12
555,301.804020,15
556,301.032170,13
557,302.306040,16
558,301.267310,15
559,301.933560,15
560,301.529130,12
561,300.998390,14
562,301.094690,15
563,301.155260,9
564,301.512810,13
565,301.535250,14
566,301.549070,10
567,301.582170,11
568,301.306610,11
569,300.886820,10
570,300.466500,9
571,300.554430,10
572,300.504910,12
573,300.632050,10
574,300.648270,11
575,300.181030,12
576,300.782990,11
577,299.965520,12
578,300.434750,10
579,300.097540,7
580,301.278190,16
581,301.012940,17
582,301.275020,14
583,300.671660,16
584,300.585290,16
585,300.672780,15
586,300.227090,16
587,301.731540,15
588,300.810240,10
589,301.343280,19
590,300.783150,12
591,301.599690,14
592,301.201560,15
593,300.809980,14
594,300.723930,20
595,300.879950,13
596,300.742800,13
597,300.579390,14
598,300.991920,18
599,301.486340,15
600,300.983170,16
601,301.652980,12
602,301.739040,11
603,301.014680,13
604,301.225420,11
605,301.394740,11
606,301.777400,16
607,301.587220,11
608,300.690780,13
609,300.582230,17
610,300.812050,16
611,301.241590,13
612,300.334150,16
613,300.843950,14
614,301.470160,18
615,301.334970,15
616,300.547740,19
617,300.277300,15
618,300.757920,18
619,300.943510,15
620,300.564650,12
621,301.411550,15
622,300.877460,13
623,300.550870,9
624,300.579930,11
625,300.935570,10
626,300.459940,12
627,301.202480,14
628,300.679330,12
629,300.206640,13
630,299.834840,13
631,299.648240,14
632,299.828330,15
633,300.189480,11
634,300.656060,10
635,300.889490,16
636,299.966100,14
637,300.222700,13
638,300.072130,10
639,300.061260,10
640,300.184580,15
641,299.995020,16
642,300.472090,15
643,300.177660,15
644,299.736650,13
645,300.014050,10
646,300.263940,14
647,300.213750,12
648,301.146120,12
649,300.323500,14
650,300.599240,13
651,300.665700,15
652,300.317160,11
653,300.576660,12
654,300.236820,11
655,300.449600,9
656,300.169810,16
657,300.488480,9
658,300.402740,12
659,300.724630,13
660,301.013640,12
661,300.871950,19
662,300.125320,18
663,300.619810,18
664,301.482210,15
665,300.190140,15
