step,price,volume
0,301.223170,15
1,300.138820,12
2,300.039040,10
3,300.764340,10
4,300.301550,10
5,300.423910,13
6,300.426650,11
7,300.592250,13
8,300.165000,11
9,300.279410,14
10,299.950670,14
11,300.385270,14
12,300.515490,15
13,300.040480,16
14,300.958580,11
15,299.920660,16
16,299.895770,19
17,300.228940,12
18,300.052980,14
19,301.374780,14
20,300.427640,11
21,300.661350,14
22,301.057980,15
23,299.996950,14
24,300.023810,11
25,300.181870,17
26,300.655570,13
27,299.825760,13
28,300.096140,14
29,300.171660,14
30,299.999940,11
31,299.333790,10
32,300.078120,11
33,299.429540,13
34,299.405150,14
35,299.531490,12
36,299.891350,13
37,299.970310,13
38,299.440960,13
39,300.850720,13
40,300.964710,17
41,299.526310,14
42,300.381490,10
43,300.556900,12
44,300.351790,10
45,300.360850,15
46,300.144340,9
47,299.991130,13
48,299.954490,11
49,300.230710,13
50,301.159650,12
51,300.346580,14
52,299.908550,15
53,300.165910,10
54,301.560990,15
55,301.213930,15
56,300.932310,17
57,300.375940,12
58,301.049010,13
59,300.772490,16
60,300.904210,12
61,300.775780,11
62,300.778750,12
63,301.098370,12
64,300.498140,14
65,301.221260,8
66,301.781950,15
67,301.114570,11
68,301.241390,12
69,300.488340,14
70,300.350750,12
71,300.212280,13
72,300.414190,11
73,301.021430,16
74,300.798020,10
75,300.631380,15
76,300.895490,15
77,300.550360,15
78,300.769280,10
79,301.335480,12
80,300.468610,10
81,301.414410,11
82,301.162260,13
83,300.019120,10
84,300.765210,14
85,301.195410,13
86,300.539720,13
87,300.952300,12
88,299.958910,16
89,301.225630,12
90,301.540640,9
91,301.725340,14
92,300.773630,9
93,301.657430,9
94,301.266030,15
95,301.645670,7
96,301.380370,13
97,301.038440,12
98,300.691260,14
99,300.926050,10
100,301.149400,10
101,301.698190,13
102,301.847850,13
103,301.435970,14
104,302.166450,12
105,302.024260,14
106,302.016330,12
107,301.697660,16
108,301.394040,12
109,301.190030,10
110,301.267640,13
111,301.946960,11
112,301.584530,12
113,301.294760,9
114,301.477260,12
115,302.063510,11
116,301.843730,14
117,301.195790,7
118,301.664760,12
119,301.435870,10
120,301.568390,14
121,300.953190,17
122,301.308490,14
123,302.038690,15
124,301.534940,11
125,301.181070,13
126,301.820670,15
127,301.635700,13
128,301.736900,17
129,301.904830,16
130,301.099330,17
131,300.968170,14
132,300.604400,16
133,301.861910,19
134,301.351570,14
135,301.945520,16
136,301.538610,15
137,300.562010,18
138,301.184270,12
139,301.191770,17
140,300.782630,14
141,301.194470,12
142,300.791120,10
143,300.848670,13
144,300.568210,15
145,300.995040,10
146,301.078160,12
147,301.133460,14
148,301.505820,12
149,301.774980,11
150,301.254330,11
151,302.025120,9
152,301.497290,13
153,302.098980,11
154,301.239610,13
155,301.854080,12
156,301.776280,15
157,301.780800,13
158,300.795740,14
159,301.831680,15
160,302.053260,9
161,302.014950,9
162,302.086170,9
163,301.629510,7
164,302.166990,11
165,302.105010,12
166,302.371640,12
167,302.186380,12
168,301.812340,9
169,302.101410,8
170,301.367580,16
171,301.747650,12
172,302.595380,17
173,301.478260,11
174,301.550680,15
175,301.730900,14
176,301.149990,15
177,301.563340,13
178,301.390150,13
179,301.296590,12
180,300.787820,13
181,301.732510,14
182,302.010950,14
183,300.833390,12
184,301.069010,15
185,300.880110,12
186,300.736700,13
187,300.811000,12
188,301.437980,12
189,301.853680,15
190,302.152920,19
191,301.579150,17
192,301.699080,10
193,301.457230,16
194,302.074400,15
195,301.659190,13
196,302.001270,15
197,301.581160,18
198,300.977280,15
199,301.030190,15
200,301.531770,13
201,300.511940,15
202,300.405280,17
203,301.276510,13
204,300.563910,15
205,301.725570,17
