step,price,volume
0,299.911700,15
1,300.525840,12
2,298.952830,14
3,300.130780,14
4,299.412900,15
5,299.753730,14
6,300.414550,14
7,300.162570,15
8,299.861330,11
9,299.020550,11
10,299.923840,11
11,300.237310,12
12,299.738360,15
13,300.271520,12
14,299.464450,15
15,300.045860,13
16,300.042220,12
17,299.498940,14
18,300.828430,15
19,299.891680,9
20,300.324110,16
21,300.307870,14
22,299.485960,15
23,300.893260,16
24,300.182730,17
25,300.038150,13
26,298.822330,18
27,299.831250,16
28,300.184890,13
29,299.342250,18
30,299.078800,11
31,300.077140,13
32,298.673810,16
33,299.743100,15
34,299.114590,16
35,298.999760,16
36,299.718630,16
37,298.225160,16
38,298.706850,13
39,299.676990,16
40,298.790010,15
41,298.926620,14
42,299.996130,14
43,299.678350,15
44,299.458040,12
45,299.156760,13
46,299.267360,14
47,299.981990,15
48,298.462930,18
49,299.467670,13
50,300.123770,18
51,299.911070,15
52,298.888340,21
53,298.526950,16
54,299.535450,16
55,298.923720,14
56,299.251450,14
57,299.811260,16
58,299.118680,17
59,300.070380,16
60,300.117260,11
61,299.323670,11
62,300.176640,11
63,300.526560,12
64,300.436710,15
65,299.402790,16
66,299.743720,11
67,299.534560,12
68,299.402230,11
69,299.089860,14
70,300.246260,13
71,299.351420,15
72,300.311840,14
73,300.393140,13
74,299.579850,11
75,299.491200,14
76,299.958320,11
77,299.740200,14
78,299.701810,10
79,299.855410,13
80,299.944240,12
81,299.550470,10
82,300.044390,11
83,299.462350,14
84,299.736600,10
85,299.925150,6
86,299.788290,10
87,299.023330,11
88,299.846390,11
89,299.704660,9
90,300.229270,10
91,299.978660,10
92,299.624440,13
93,299.443370,14
94,299.214440,9
95,299.428680,13
96,299.785930,9
97,300.242590,9
98,299.791280,9
99,299.801690,9
100,300.321080,11
101,300.445960,11
102,300.008740,10
103,299.228520,12
104,299.625870,13
105,299.733120,10
106,299.257100,11
107,300.012640,11
108,300.399100,14
109,299.870950,13
110,299.927240,12
111,299.934040,9
112,299.201990,12
113,299.867580,9
114,299.602710,8
115,299.071690,14
116,299.309310,11
117,299.712160,12
118,299.489230,10
119,299.349000,8
120,299.355980,14
121,299.486320,10
122,299.179440,14
123,299.122080,9
124,299.307260,11
125,298.832420,11
126,299.438850,11
127,299.044250,10
128,299.326790,11
129,300.034610,11
130,299.575960,14
131,299.136800,13
132,298.883540,11
133,300.316110,13
134,300.057020,7
135,299.065020,13
136,299.771630,11
137,299.796660,10
138,299.984000,11
139,299.584660,10
140,298.903190,17
141,299.353680,14
142,299.401910,15
143,300.012030,16
144,299.550510,16
145,298.995040,12
146,298.743540,17
147,298.724780,17
148,298.747620,16
149,298.595320,19
150,299.152480,16
151,298.659900,16
152,299.106740,15
153,298.816070,14
154,298.395100,13
155,298.115890,18
156,299.908840,14
157,299.043300,12
158,299.283540,16
159,298.867110,15
160,297.996390,12
161,298.242800,12
162,298.753500,11
163,299.123440,13
164,298.560760,12
165,298.328670,14
166,299.185060,13
167,299.108410,10
168,299.071760,13
169,297.772160,12
170,297.663710,9
171,297.849250,7
172,297.805840,12
173,297.996970,7
174,297.897330,10
175,297.475830,14
176,297.950630,11
177,298.073360,11
178,297.885310,6
179,297.385120,10
180,297.512200,10
181,297.912750,11
182,297.735490,13
183,297.539890,9
184,297.437000,13
185,297.354960,7
186,297.332860,11
187,297.342020,12
188,297.855900,11
189,297.930590,8
190,297.523580,16
191,298.090090,15
192,297.572180,13
193,298.441820,13
194,297.047990,13
195,297.974990,16
196,297.944850,15
197,297.312130,13
198,298.577040,14
199,297.749660,14
200,297.351840,15
201,297.690830,14
202,298.241730,14
203,298.130660,15
204,296.884980,14
205,297.094940,15
206,296.671190,13
207,297.554620,15
208,297.876590,14
209,297.092600,18
210,297.831830,11
211,297.604070,11
212,297.274570,11
213,297.455360,10
214,298.017180,13
215,297.283230,15
216,297.095050,14
217,297.650490,15
218,296.780110,11
219,297.733540,12
220,297.044870,16
221,297.421370,11
222,298.101860,15
223,297.159550,15
224,297.184050,17
225,298.214490,17
226,297.139180,15
227,298.164290,13
228,297.558390,12
229,297.813210,11
230,296.362160,17
231,296.408850,15
232,296.141260,13
233,296.526260,17
234,296.939470,17
235,296.924260,16
236,297.246210,18
237,295.697550,15
238,296.418760,17
239,296.701590,16
240,295.320530,15
241,295.808490,14
242,296.671920,13
243,296.804690,12
244,295.388850,12
245,295.882110,12
246,295.640040,13
247,296.160320,14
248,295.698090,15
249,295.708830,10
250,295.205020,15
251,296.047120,14
252,295.062950,13
253,295.614680,13
254,295.335230,13
255,295.939440,14
256,295.752650,11
257,295.253290,13
258,295.932740,14
259,295.572140,11
260,295.106240,12
261,295.530600,11
262,295.236810,14
263,295.457570,9
264,295.408790,14
265,294.649660,10
266,295.455350,14
267,295.868110,8
268,295.247760,11
269,295.033400,10
270,296.041580,15
271,294.728350,13
272,294.786590,8
273,294.578650,16
274,294.710850,13
275,294.928380,10
276,295.086060,10
277,295.225870,10
278,295.235560,14
279,294.661410,14
280,294.717690,13
281,295.033100,13
282,294.879480,12
283,294.795470,13
284,295.176270,7
285,294.826220,13
286,294.757340,11
287,295.164180,12
288,295.127900,11
289,295.032830,9
290,294.672610,13
291,294.872010,15
292,295.613470,17
293,294.972280,13
294,294.347420,18
295,295.096030,16
296,294.629390,16
297,294.880720,16
298,294.965990,16
299,294.567270,15
300,295.153500,11
301,294.708000,15
302,294.322550,14
303,294.459640,16
304,295.156690,16
305,295.063180,12
306,295.474490,12
307,294.440540,15
308,294.611530,12
309,295.401630,14
310,295.066150,12
311,295.260890,14
312,294.705460,14
313,294.954240,17
314,294.226340,15
315,295.302880,16
316,294.818850,15
317,294.581480,15
318,294.999800,13
319,295.213860,14
320,294.879710,10
321,294.596110,12
322,295.324060,10
323,294.807930,13
324,294.639890,12
325,295.366430,15
326,295.022840,14
327,294.564900,10
328,295.115140,11
329,295.507660,10
330,295.580350,9
331,295.890120,12
332,295.500060,11
333,295.616470,12
334,295.454250,9
335,295.366830,10
336,294.949570,13
337,294.786370,15
338,295.320520,9
339,295.278280,9
340,295.087990,15
341,295.981220,17
342,295.710180,15
343,294.336230,15
344,295.455130,19
345,295.139140,16
346,296.065990,13
347,295.230540,13
348,295.384070,11
349,295.821060,11
350,295.436450,13
351,295.112700,10
352,295.844110,12
353,295.460270,12
354,295.466610,10
355,295.167700,11
356,295.471790,12
357,295.747820,10
358,295.005940,10
359,295.616290,12
360,295.576630,11
361,295.608380,16
362,295.198920,16
363,294.824880,15
364,294.947330,16
365,294.884480,14
366,295.474210,16
367,295.736990,15
368,295.510490,14
369,295.754400,15
370,295.855510,16
371,294.657080,14
372,294.933800,11
373,295.128280,15
374,295.518840,13
375,295.114460,14
