step,price,volume
0,299.291630,13
1,299.189290,15
2,299.519370,15
3,299.591190,15
4,300.244250,18
5,299.391910,10
6,300.213450,14
7,299.710530,14
8,299.750490,14
9,298.776230,15
10,299.215280,11
11,299.249430,12
12,299.471690,10
13,299.073870,13
14,299.535710,15
15,298.829850,12
16,299.160430,13
17,300.005300,13
18,299.359290,14
19,300.276720,13
20,299.021330,15
21,298.996340,13
22,299.755750,17
23,299.832830,18
24,298.523170,16
25,298.561090,15
26,299.507210,14
27,298.997840,15
28,299.309560,14
29,299.847800,14
30,298.806740,16
31,298.552260,14
32,298.348640,13
33,300.171460,13
34,298.116950,15
35,299.722090,13
36,299.269010,10
37,299.487640,13
38,299.680480,14
39,298.958760,14
40,298.843370,10
41,299.257670,14
42,298.641440,10
43,298.880950,9
44,298.774890,12
45,299.004140,13
46,299.049820,9
47,299.268640,12
48,299.233060,13
49,299.127500,7
50,298.083580,13
51,298.403600,11
52,299.211240,12
53,298.585640,11
54,298.528060,15
55,298.014060,15
56,299.452950,15
57,298.728880,12
58,299.652870,14
59,298.540580,14
60,298.302530,14
61,297.838300,8
62,298.566950,9
63,299.180880,7
64,298.518250,12
65,297.779690,10
66,298.253160,9
67,298.343710,10
68,298.410370,9
69,298.083980,5
70,298.394340,15
71,298.508520,13
72,298.271770,17
73,298.350020,14
74,298.239550,16
75,298.284220,15
76,298.533170,15
77,297.350980,14
78,298.081080,13
79,298.230830,15
80,298.317170,12
81,298.332680,12
82,298.114610,13
83,298.556030,13
84,297.709640,15
85,298.370510,13
86,297.636610,13
87,297.962510,12
88,297.641090,12
89,298.391630,10
90,297.888500,10
91,298.281330,5
92,298.757500,10
93,298.715640,14
94,298.374840,10
95,298.459810,7
96,298.245810,11
97,298.477700,9
98,298.157440,5
99,298.415750,12
100,297.864380,12
101,298.654620,17
102,298.132160,14
103,297.417870,15
104,297.745070,19
105,298.134840,12
106,299.043690,17
107,297.903430,15
108,298.481710,15
109,297.606480,16
110,298.343420,15
111,298.089780,11
112,298.916970,12
113,297.827410,12
114,298.857800,8
115,298.319280,12
116,298.837720,14
117,298.736970,14
118,298.690670,14
119,298.380400,12
120,298.748440,14
121,298.672620,15
122,299.066040,15
123,298.775180,16
124,298.449880,13
125,299.036370,13
126,298.108610,14
127,299.192100,13
128,298.007060,15
129,298.491850,13
130,299.035230,13
131,299.152920,15
132,298.828570,15
133,298.276710,19
134,299.281260,14
135,298.568840,12
136,299.475950,15
137,299.341380,15
138,299.056430,14
139,299.204780,13
140,299.178460,16
141,298.566190,12
142,299.119790,16
143,299.478500,12
144,298.833300,10
145,298.419040,11
146,298.911070,12
147,298.641250,18
148,298.911600,13
149,299.368670,13
150,298.241590,13
151,298.278700,18
152,298.513640,13
153,298.236050,14
154,298.977740,12
155,299.517990,16
156,298.542990,12
157,298.467210,13
158,298.086310,12
159,298.706320,12
160,299.483510,15
161,299.372450,16
162,299.656770,18
163,298.860540,14
164,298.471190,15
165,298.630910,14
166,298.593840,13
167,299.640470,11
168,298.196810,12
169,298.369410,17
170,298.264280,13
171,298.022310,13
172,297.448510,14
173,298.327590,10
174,298.302210,16
175,297.704330,15
176,298.383990,12
177,298.443900,10
178,297.733930,14
179,298.478380,14
180,298.477950,12
181,297.982930,16
182,297.971430,12
183,299.098330,12
184,299.185840,9
185,299.186140,12
186,298.950960,14
187,298.601680,9
188,298.407520,12
189,299.385190,13
190,298.715050,18
191,299.714270,13
192,299.462580,14
193,299.590580,15
194,299.715130,14
195,299.377430,13
196,300.082140,17
197,298.646180,17
198,299.173930,14
199,299.140430,16
200,299.179520,13
201,299.662980,10
202,299.801600,16
203,299.532590,13
204,299.584220,15
205,298.830720,9
206,298.747110,13
207,298.730630,12
208,299.332960,15
209,299.342010,13
210,298.889170,15
211,298.742540,15
212,298.960640,13
213,298.362750,13
214,298.947360,15
215,298.287050,13
216,298.565180,17
217,299.333800,12
218,298.418440,13
219,298.960060,19
220,299.364740,16
221,298.830190,11
222,299.200740,14
223,299.987330,14
224,299.332850,14
225,299.026810,17
226,300.677590,17
227,298.977400,16
228,298.840270,16
229,299.546130,15
230,298.307790,14
231,299.461090,13
232,298.897350,15
233,299.471970,13
234,299.057580,10
235,298.812020,11
236,298.639470,15
237,299.336600,13
238,298.720470,15
239,299.080890,12
240,299.525580,11
241,298.966680,15
242,298.894620,10
243,298.643130,13
244,298.998350,12
245,298.769490,12
246,299.231430,11
247,299.273480,11
248,299.838330,13
249,299.250190,9
250,299.734420,18
251,299.941770,14
252,299.276130,14
253,299.990480,15
254,299.271980,13
255,300.094470,12
256,300.693180,15
257,299.935870,11
258,300.021380,10
259,299.726400,15
260,300.996540,12
261,300.400390,12
262,300.230030,14
263,300.133900,12
264,300.265860,17
265,299.923170,14
266,300.770350,13
267,300.264000,13
268,301.006500,13
269,301.322960,16
270,300.572470,16
271,300.934140,14
272,301.255710,16
273,300.722310,13
274,300.793860,17
275,301.779840,16
276,301.290670,19
277,301.415710,13
278,301.336720,15
279,301.539710,15
280,300.910340,12
281,300.734500,9
282,300.943350,9
283,299.992210,11
284,300.378280,11
285,301.032710,10
286,300.218090,12
287,300.258670,12
288,300.581530,10
289,301.066270,11
290,300.457630,10
291,300.583830,8
292,300.744910,11
293,300.680190,9
294,300.401980,9
295,300.600980,11
296,300.238120,10
297,299.907230,10
298,300.287000,11
299,300.285840,8
300,300.803470,14
301,300.238150,12
302,300.265130,13
303,299.535880,15
304,300.264140,10
305,300.188600,12
306,300.393470,12
307,299.397900,14
308,300.074690,14
309,300.312680,10
310,299.806100,9
311,300.428680,10
312,299.771720,12
313,300.110220,13
314,300.457320,12
315,299.889450,12
316,299.746250,14
317,300.592390,16
318,299.405250,13
319,299.840150,14
320,300.535610,12
321,299.893360,13
322,300.447320,11
323,300.277940,10
324,300.123010,8
325,299.954940,11
326,300.861180,15
327,300.891810,10
328,300.480510,9
329,299.872390,12
330,299.724630,11
331,300.261700,11
332,299.877730,12
333,299.864570,12
334,300.227840,6
335,300.817620,14
336,300.411950,13
337,299.933450,10
338,299.669850,13
339,300.688240,12
340,300.271700,14
341,300.193300,10
342,300.801320,13
343,300.752770,9
344,301.143030,14
345,300.087860,14
346,300.402150,11
347,300.868030,15
348,300.328360,16
349,300.524710,12
350,300.667220,13
351,300.724750,16
352,300.730180,14
353,301.198010,13
354,300.691700,12
355,300.430590,12
356,300.566500,13
357,300.039530,12
358,301.594920,13
359,300.839050,11
360,300.083970,13
361,299.792550,11
362,300.222610,14
363,300.049230,12
364,300.027920,15
365,299.917110,10
366,300.007430,17
367,300.061200,15
368,299.816860,14
369,299.598850,14
370,300.692330,11
371,299.830240,9
372,299.946590,12
373,300.535800,12
374,299.949310,10
375,300.427610,10
376,300.261690,10
377,300.480170,10
378,300.183380,14
379,299.986430,13
380,300.257620,13
381,300.462660,17
382,300.650760,14
383,300.914010,18
384,299.923270,16
385,300.974620,12
386,301.596280,18
387,301.106440,15
388,300.822160,14
389,299.811070,14
390,299.809920,15
391,300.316020,17
392,300.480370,15
393,300.135540,19
394,300.530250,13
395,299.672280,14
396,300.402860,18
397,299.886760,14
398,299.881040,14
399,300.344290,17
400,298.390590,18
401,299.481960,12
402,299.285730,11
403,300.227450,14
404,299.872840,10
405,299.662640,13
406,299.967590,13
407,299.961720,14
408,299.741750,15
409,298.860500,13
410,299.343320,8
411,298.355590,13
412,298.905920,9
413,299.580070,12
414,299.408030,11
415,299.270080,12
416,299.268050,12
417,298.868570,9
418,299.288990,7
419,298.751300,8
420,300.120480,15
421,299.590130,15
422,299.035020,13
423,299.321460,12
424,299.598700,13
425,300.343290,16
426,300.112730,11
427,300.151610,11
428,299.380450,10
429,299.159450,16
430,299.226150,12
431,298.780460,11
432,298.766160,9
433,299.521460,14
434,298.824930,11
435,299.284590,10
436,299.489710,12
437,299.210600,11
438,298.964980,11
439,298.251180,14
440,298.743490,12
441,298.438780,9
442,298.001980,11
443,297.909190,13
444,299.009960,9
445,298.712590,12
446,298.469440,14
447,298.566410,11
448,298.188870,13
449,298.772930,11
450,299.475880,18
451,298.713000,17
452,298.632110,15
453,298.546990,15
454,299.655410,15
455,298.976700,16
456,298.600770,18
457,299.456820,18
458,298.487940,17
459,299.077700,17
460,299.452780,12
461,299.341470,13
462,299.349850,10
463,298.558750,11
464,298.934370,10
465,299.495220,14
466,299.189290,15
467,299.446070,15
468,298.880380,11
469,299.784990,13
470,299.160240,10
471,299.628720,11
472,299.731900,11
473,299.522780,7
474,298.935470,12
475,299.450290,9
476,299.089270,10
477,299.374480,12
478,299.895090,12
479,299.226330,10
480,299.460240,12
481,298.570730,13
482,300.387980,12
483,299.096160,10
484,299.952760,16
485,299.703290,13
486,299.513090,14
487,299.402100,13
488,299.660720,14
489,298.722590,16
490,299.069040,10
491,298.520830,10
492,298.692760,13
493,299.178360,9
494,298.805070,10
495,299.067940,10
496,299.625880,16
497,298.907200,12
498,299.269960,15
499,298.910690,11
500,298.435250,15
501,298.594760,11
502,298.310610,10
503,298.681730,11
504,298.405590,13
505,298.804250,10
506,298.628650,14
507,298.359310,15
508,298.240980,9
509,298.968720,14
510,299.806710,14
511,300.478640,17
512,300.207630,14
513,298.500490,13
514,299.655030,14
515,298.860850,14
516,300.161600,15
517,299.456370,15
518,300.067490,14
519,300.349810,15
520,300.648720,12
521,300.168830,12
522,300.094630,12
523,300.815230,12
524,300.544220,11
525,300.736640,13
526,300.678620,10
527,300.726030,12
528,300.291160,15
529,300.587560,12
530,300.349640,15
531,299.422590,12
532,300.412330,11
533,299.659440,14
534,300.054480,14
535,300.076690,11
536,300.189450,13
537,299.772550,9
538,300.093100,12
539,299.982240,12
540,299.920520,11
541,299.251930,8
542,299.762250,7
543,299.421990,9
544,299.699550,9
545,299.229850,11
546,299.430350,12
547,299.990960,10
548,299.265000,14
549,299.577630,11
550,298.874010,16
551,299.184940,11
552,299.136940,15
553,299.376910,11
554,298.860200,16
555,299.076120,13
556,299.228420,13
557,299.042270,14
558,298.995180,14
559,299.346090,12
560,299.522760,7
561,299.210110,8
562,299.025260,7
563,299.140840,10
564,299.278760,13
565,299.498030,9
566,299.994630,12
567,299.192240,10
568,299.587820,8
569,298.785110,11
570,299.382830,13
571,298.393300,15
572,298.775010,15
573,298.542730,9
574,298.470390,15
575,298.482730,13
576,299.653730,14
577,298.833580,15
578,298.168930,14
579,299.038940,12
580,298.323160,14
581,298.651750,14
582,298.723090,12
583,298.552380,10
584,298.593370,14
585,298.649200,9
586,299.213610,11
587,298.966910,10
588,298.652310,10
589,299.131980,16
590,299.233130,19
591,300.072450,16
592,299.487140,15
593,299.564630,20
594,300.029960,18
595,299.863470,17
596,299.225280,13
597,299.505060,17
598,299.732560,16
599,299.102860,15
600,299.325150,10
601,298.367890,14
602,298.977360,10
603,299.651170,12
604,299.243850,11
605,298.994190,7
606,299.013150,7
607,298.904380,14
608,299.391920,10
609,299.803140,13
610,298.712380,11
611,298.998670,13
612,299.351950,13
613,299.847700,15
614,299.196430,10
615,299.228610,11
616,299.127220,8
617,298.898620,11
618,299.091980,13
619,299.136230,12
620,299.732720,12
621,299.664370,10
622,299.230300,9
623,299.527760,11
624,299.349370,12
625,299.114340,11
626,299.020910,11
627,298.685460,11
628,298.925470,12
629,298.826610,12
630,299.161140,12
631,299.616560,13
632,298.799150,14
633,299.368770,13
634,299.856460,9
635,299.555450,9
636,299.083030,11
637,299.375510,9
638,298.977510,11
639,299.197000,10
640,299.920830,15
641,299.173320,11
642,299.340360,12
643,298.982390,18
644,299.055790,11
645,298.495950,14
646,299.600670,13
647,298.890090,12
648,298.378990,17
649,299.055530,11
650,299.059250,14
651,298.760990,15
652,298.815010,14
653,298.271370,15
654,298.517180,12
655,298.740200,12
656,299.094050,14
657,299.237670,12
658,298.187420,14
659,298.013040,16
660,298.956100,10
661,298.401560,12
662,299.272200,8
663,298.588400,10
664,299.298260,9
665,298.934010,10
666,298.855790,8
667,298.451600,11
668,298.515890,13
669,298.925120,12
670,299.509610,15
671,298.825200,13
672,298.809550,13
673,298.544170,13
674,299.168830,13
675,298.143430,17
676,298.743740,12
677,299.650850,14
678,299.422810,16
679,298.596650,13
680,299.647680,17
681,299.995010,15
682,299.038100,18
683,300.420700,17
684,299.974100,17
685,299.112620,15
686,299.440140,16
687,299.982280,15
688,299.407160,17
689,300.121450,18
690,300.501140,11
691,300.426670,12
692,300.540020,13
693,300.323570,10
694,300.300660,14
695,300.621540,9
696,300.591040,12
697,300.890250,12
698,301.039270,12
699,300.595070,8
700,300.740460,12
701,300.183570,17
702,300.664550,11
703,300.313470,13
704,300.804630,13
705,300.333530,14
706,300.577140,14
707,300.525150,15
708,300.182670,12
709,300.495520,12
710,300.166740,13
711,300.633100,13
712,300.259270,9
713,299.752490,15
714,300.406900,10
715,300.709120,11
716,301.068570,14
717,300.651960,12
718,300.872770,11
719,300.237370,13
720,300.058390,11
721,299.769460,11
722,299.670930,13
723,299.784540,10
724,299.727320,9
725,299.968450,9
726,299.212240,10
727,300.214730,11
728,300.121240,9
729,299.986950,12
