step,price,volume
0,300.351620,15
1,300.777540,16
2,300.482870,14
3,300.186760,14
4,299.654270,12
5,299.703790,14
6,300.231040,15
7,300.011440,11
8,300.638960,15
9,300.159850,13
10,299.839550,13
11,299.317880,14
12,300.366030,14
13,300.257730,9
14,299.842830,12
15,299.937820,13
16,300.162970,11
17,300.742760,13
18,299.936990,12
19,300.383670,12
20,300.933730,13
21,300.556850,15
22,300.110310,16
23,299.871590,16
24,300.588530,15
25,300.589990,18
26,299.832410,16
27,299.627420,14
28,300.790800,16
29,300.494650,15
30,300.323020,12
31,300.113550,12
32,300.387550,15
33,301.013640,15
34,301.401320,18
35,299.993150,15
36,299.487070,13
37,300.844060,14
38,299.686010,14
39,300.158350,13
40,300.573080,13
41,299.691490,13
42,299.206270,14
43,299.733860,15
44,300.151350,11
45,299.742970,18
46,299.435690,13
47,300.994290,15
48,299.839570,13
49,300.532530,14
50,300.433280,13
51,299.935610,10
52,299.285430,16
53,300.440520,14
54,299.829390,10
55,300.285100,12
56,300.257970,16
57,300.373620,13
58,300.189090,14
59,299.925540,13
60,300.147320,16
61,299.544360,12
62,299.516700,16
63,300.318830,12
64,299.191880,12
65,299.873450,11
66,299.669980,11
67,299.452210,12
68,299.815560,11
69,299.959700,13
70,299.864740,8
71,299.721910,13
72,299.765330,10
73,300.149440,9
74,300.156430,10
75,300.219810,9
76,299.824790,9
77,300.309270,13
78,299.754780,9
79,299.519120,10
80,299.166760,15
81,299.784940,12
82,299.602410,13
83,299.471320,12
84,299.993920,14
85,299.553570,15
86,299.472660,13
87,299.542660,15
88,299.722770,12
89,299.610990,13
90,300.205190,15
91,300.065130,13
92,299.556710,15
93,299.766720,18
94,300.239570,13
95,299.558090,12
96,299.275060,11
97,299.256860,14
98,299.241460,13
99,299.441080,13
100,300.401980,14
101,299.855100,11
102,299.710000,16
103,299.189310,11
104,299.614900,11
105,299.673210,11
106,299.664580,12
107,299.196550,12
108,299.293790,10
109,299.003420,14
110,298.626130,13
111,299.998670,12
112,298.531400,14
113,299.674980,14
114,299.189720,11
115,299.353730,12
116,298.922170,12
117,298.804150,13
118,298.456830,13
119,298.906790,16
120,300.020490,15
121,300.038520,11
122,299.417840,12
123,299.358510,12
124,298.897910,11
125,299.050770,11
126,299.086260,12
127,299.629130,13
128,299.400570,11
129,299.301440,12
130,299.314060,13
131,298.905170,15
132,298.514220,13
133,299.007390,17
134,298.889940,15
135,298.660720,16
136,299.153090,11
137,298.721930,16
138,298.842720,11
139,298.791640,13
140,298.874640,10
141,298.565760,8
142,298.634530,10
143,298.235610,10
144,298.001570,10
145,299.005760,13
146,298.336190,9
147,298.854350,10
148,298.505340,12
149,298.654260,14
150,298.619660,14
151,298.235340,15
152,298.219480,17
153,298.737090,13
154,298.524150,11
155,298.093240,15
156,298.278870,9
157,299.430620,12
158,298.524510,12
159,298.508810,11
160,297.711370,19
161,298.207960,15
162,298.889740,13
163,297.860160,17
164,297.580720,17
165,297.892400,18
166,298.793280,14
167,298.908130,12
168,298.114310,13
169,297.787810,10
170,298.586650,16
171,299.793520,16
172,298.570590,12
173,299.495690,15
174,298.768360,15
175,298.785800,14
176,299.166960,16
177,300.078790,12
178,298.402860,14
179,299.445970,14
180,299.301040,9
181,299.355060,12
182,299.699730,13
183,299.355380,13
184,299.621280,15
185,299.997880,12
186,299.651540,10
187,300.026780,12
188,299.811160,11
189,299.788060,10
190,300.241160,13
191,300.315610,14
192,299.373440,12
193,300.257200,14
194,300.238880,11
195,300.148610,13
196,300.585240,14
197,300.723180,16
198,299.971920,15
199,300.225440,12
200,299.561070,15
201,300.106270,13
202,299.848910,13
203,300.007290,11
204,298.953460,13
205,300.469920,14
206,300.244150,12
207,299.618900,12
208,299.672280,14
209,299.832860,14
210,301.097120,19
211,299.482760,11
212,300.208040,16
213,299.863860,16
214,298.933070,17
215,300.670220,15
216,299.372990,17
217,299.360310,17
218,300.409550,15
219,299.697880,15
220,300.447100,19
221,299.629370,11
222,299.421670,13
223,300.202250,15
224,300.081280,13
225,299.427270,18
226,300.463180,15
227,299.989920,13
228,299.996990,13
229,300.633880,17
230,299.683430,9
231,300.149680,9
232,299.706420,8
233,299.472590,12
234,299.421560,9
235,299.051740,8
236,300.149750,9
237,299.540740,11
238,299.822980,10
239,299.886040,11
240,300.722190,10
241,300.672610,15
242,300.904750,11
243,299.882600,10
244,300.649350,11
245,300.313530,10
246,300.448710,10
247,300.663730,12
248,300.372670,7
249,300.176830,11
250,300.339040,8
251,300.075340,11
252,300.206430,11
253,300.484960,7
254,300.313800,8
255,300.272170,7
256,300.446110,9
257,299.879330,9
258,300.295380,6
259,299.934000,8
260,300.349620,14
261,299.906180,18
262,299.966920,17
263,299.894150,18
264,300.518430,14
265,299.883940,17
266,300.898330,17
267,301.159020,17
268,300.889150,18
269,300.969510,19
270,301.814490,10
271,301.750280,12
272,301.444750,14
273,301.236440,15
274,301.108730,12
