step,price,volume
0,299.618600,15
1,299.750460,13
2,299.725630,13
3,300.601720,14
4,299.587960,15
5,300.030100,19
6,299.415840,15
7,299.250130,18
8,299.791870,13
9,299.630920,12
10,300.519570,14
11,300.011640,15
12,300.629350,13
13,299.637600,16
14,301.052000,15
15,300.481250,12
16,300.329090,14
17,300.900050,14
18,300.868850,15
19,300.226750,16
20,299.646240,14
21,300.110960,15
22,300.119370,16
23,299.990050,13
24,299.972880,14
25,300.918480,15
26,300.252650,11
27,299.239330,15
28,300.270670,12
29,299.807760,20
30,300.090330,14
31,300.410580,17
32,300.484170,14
33,300.264210,14
34,300.437010,14
35,299.728310,17
36,300.326380,12
37,300.228110,17
38,300.813720,16
39,299.988070,16
40,300.316460,16
41,300.395580,16
42,300.449130,14
43,300.205560,17
44,300.754360,17
45,300.657130,15
46,301.093770,16
47,300.824670,13
48,299.114910,17
49,300.126630,11
50,300.609510,11
51,300.591100,16
52,300.280950,15
53,300.769890,12
54,300.833530,13
55,300.498950,16
56,299.969800,15
57,300.689950,14
58,300.085630,14
59,300.699590,14
60,299.972120,13
61,299.915070,14
62,300.008340,10
63,300.542370,10
64,300.290460,11
65,300.723520,13
66,301.151320,18
67,300.846090,15
68,300.189390,9
69,300.373130,9
70,300.348880,13
71,300.215700,11
72,300.137540,9
73,300.444070,12
74,300.256710,15
75,300.085810,13
76,300.243910,12
77,300.356090,10
78,300.262620,10
79,301.129270,10
80,299.712050,14
81,299.865030,13
82,300.503370,12
83,300.291210,9
84,299.587550,13
85,300.321110,14
86,300.407080,13
87,299.836300,12
88,300.552420,10
89,300.134420,13
90,300.042510,13
91,299.454700,16
92,299.723840,14
93,299.308560,16
94,299.479310,11
95,299.195820,14
96,299.561310,11
97,300.152390,16
98,299.301660,12
99,298.983630,13
100,299.410040,18
101,299.688390,16
102,298.721270,16
103,299.564470,13
104,299.166260,15
105,299.534160,11
106,299.617210,14
107,298.257240,15
108,299.247250,18
109,299.119750,11
110,298.982670,15
111,298.511190,14
112,298.786830,15
113,298.603240,18
114,299.569570,14
115,299.250150,16
116,299.185120,12
117,299.442640,12
118,298.836300,14
119,298.999930,12
120,299.002480,7
121,298.511860,11
122,299.477260,10
123,298.617460,10
124,298.230730,12
125,298.891550,11
126,298.762980,7
127,298.706040,11
128,298.364230,13
129,298.756750,11
130,298.741180,13
131,298.132520,12
132,298.504860,10
133,298.744950,14
134,298.356670,10
135,298.216000,15
136,298.618950,10
137,298.356940,11
138,298.043150,10
139,298.677270,13
140,299.137200,13
141,299.648020,8
142,299.467870,6
143,299.818860,10
144,299.526560,9
145,299.724370,8
146,299.868950,8
147,299.040900,9
148,299.493640,12
149,299.291740,6
150,300.281540,16
151,299.800860,15
152,299.799890,14
153,299.512040,16
154,299.638600,16
155,300.085530,18
156,300.321990,17
157,300.646530,17
158,300.416390,17
159,300.458410,14
160,299.730900,12
161,299.896510,9
162,300.658940,10
163,299.872800,9
164,300.036460,10
165,300.333330,9
166,299.914150,12
167,299.685220,10
168,300.425350,8
169,300.540390,6
170,300.997950,15
171,300.311150,11
172,300.098450,8
173,299.398810,13
174,300.841720,11
175,300.524650,8
176,300.454060,12
177,300.551940,12
178,300.985730,10
179,300.124690,12
180,300.948820,16
181,300.555340,16
182,300.666680,11
183,300.781380,13
184,301.522710,17
185,300.260850,16
186,300.988380,17
187,300.901120,15
188,300.748280,15
189,300.522670,14
190,301.026660,13
191,300.548540,14
192,300.308940,14
193,300.135090,12
194,301.135700,12
195,300.649520,14
196,301.168970,14
197,300.130550,14
198,299.849950,11
199,300.290950,12
200,300.219070,13
201,300.898380,13
202,301.374930,12
203,300.858640,9
204,300.098580,16
205,300.770020,12
206,300.243620,13
207,299.796920,12
208,301.380230,14
209,300.852590,15
210,301.889350,15
211,300.683200,9
212,300.845160,14
213,300.856080,12
214,300.718070,13
215,300.219070,12
216,300.021360,12
217,300.759000,14
218,301.301820,13
219,300.672510,13
220,301.409470,16
221,299.695600,17
222,300.573450,14
223,300.763450,15
224,300.727310,15
225,300.594840,13
226,301.453210,13
227,300.423810,16
228,300.617480,14
229,300.960370,14
230,301.598450,14
231,301.390540,20
232,301.213660,12
233,301.152450,16
234,300.707890,14
235,302.012210,19
236,300.692110,18
237,301.516080,16
238,300.572580,18
239,301.460080,18
240,300.901590,15
241,300.535910,14
242,301.024060,13
243,301.488100,14
244,301.124410,11
245,301.520930,16
246,300.888980,12
247,301.419390,11
248,301.224540,10
249,300.174690,14
250,300.230430,16
251,300.371590,15
252,300.660440,17
253,301.988980,17
254,301.008520,18
255,301.350190,15
256,300.359080,13
257,301.109190,17
258,299.979600,16
259,301.454100,14
260,301.894100,7
261,301.389060,11
262,301.441050,10
263,301.461180,10
264,301.242790,14
265,301.679140,9
266,300.889510,11
267,301.200670,10
268,301.273430,7
269,301.377540,13
270,301.757560,18
271,301.408030,13
272,301.503360,14
273,300.942810,15
274,301.128990,15
275,301.509610,15
276,301.607730,13
277,301.364220,16
278,300.982190,14
279,301.788770,13
280,300.999080,16
281,300.449240,8
282,300.246600,10
283,300.418000,9
284,300.432380,10
285,300.400760,11
286,299.871560,13
287,300.206630,8
288,300.593490,11
289,300.690710,12
290,301.243830,11
291,300.776700,7
292,301.241900,8
293,301.062020,12
294,300.919290,8
295,301.138920,12
296,300.659220,15
297,300.393190,11
298,301.087540,11
299,300.783750,10
300,301.420080,13
301,300.186430,13
302,301.042730,11
303,301.257230,10
304,300.690260,11
305,301.102280,9
306,300.773350,11
307,300.930170,13
308,300.162680,16
309,301.300360,13
310,301.672140,16
311,300.813260,16
312,302.131720,13
313,300.092750,17
314,300.853500,16
315,301.738160,17
316,300.596300,18
317,301.200570,15
318,300.779180,17
319,300.357610,14
320,299.904520,11
321,300.827430,12
322,301.223740,14
323,300.775930,11
324,301.346630,15
325,300.105960,12
